event,scoreNode,startDateScoreNode,nameScoreNode,locationTypeScoreNode,postalCodeScoreNode,locationSameAsScoreNode,urlScoreNode,additionalTypeScoreNode,descriptionScoreNode,imageUrlScoreNode,organizerTypeScoreNode,organizerSameAsScoreNode,performerTypeScoreNode,performerSameAsScoreNode,offerTypeScoreNode,offerUrlScoreNode,addressTypeScoreNode,streetAddressScoreNode,addressLocalityScoreNode,addressRegionScoreNode,addressCountryScoreNode,endDateScoreNode,eventStatusScoreNode,eventAttendanceModeScoreNode,doorTimeScoreNode,durationScoreNode,mainEntityOfPageUrlScoreNode,scorePercent,name,score
http://www.kingstongrand.ca/events/100-years-from-now,_:d5,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,100 Years From Now,49
http://www.kingstongrand.ca/events/pops1-a-sci-fi-odyssey,_:d6,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,2024: A Sci-Fi Odyssey,49
http://www.kingstongrand.ca/events/derek-edwards-oxy-moron,_:d7,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Derek Edwards - Oxy Moron,49
http://www.kingstongrand.ca/events/the-jim-cuddy-band-0,_:d8,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,The Jim Cuddy Band,49
http://www.kingstongrand.ca/events/jeremy-ledbetter-trio,_:d9,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Jeremy Ledbetter Trio,49
http://www.kingstongrand.ca/events/joel-plaskett-2024,_:e0,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Joel Plaskett,49
http://www.kingstongrand.ca/events/abba-christmas,_:e1,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,ABBA REVISITED CHRISTMAS CONCERT,49
http://www.kingstongrand.ca/events/the-homecoming,_:e2,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,The Homecoming,49
http://www.kingstongrand.ca/events/classic-albums-live-news-of-the-world,_:e3,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Classic Albums Live,49
http://www.kingstongrand.ca/events/ennis-sisters-2024,_:e4,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Christmas with The Ennis Sisters,49
